id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2021-09-19T03:05:15;Loop;CANCELLED;PAYPAL;2021-09-18T21:25:40;22604
2;calculating;2021-09-19T03:33:38;haptic 1080p;ISSUED;PAYPAL;2021-09-18T14:47:18;10489
3;national Frozen Berkshire;2021-09-19T03:48:28;Account Borders Home;PAID;CREDIT_CARD;2021-09-18T18:31:19;36325
4;monitor;2021-09-18T13:51:04;parse intuitive Division;CANCELLED;PAYPAL;2021-09-18T15:26:05;13687
5;synergy transmitting;2021-09-18T13:53:19;parse Gloves;ISSUED;PAYPAL;2021-09-18T22:29:57;92472
6;function;2021-09-18T18:46:47;Fresh;CANCELLED;CASH_ON_DELIVERY;2021-09-19T05:53:48;26944
7;Maine;2021-09-19T05:13:10;RAM;ISSUED;PAYPAL;2021-09-19T10:15:02;32458
8;Analyst Agent;2021-09-19T09:07:52;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2021-09-19T06:09:34;79389
9;Salad;2021-09-18T15:16:34;Gorgeous;ISSUED;CREDIT_CARD;2021-09-19T00:02:58;62169
10;Pants Wooden Intuitive;2021-09-19T00:40:31;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2021-09-18T20:35:08;58737
