id;placed_date;status;code;invoice_id;customer_id
1;2021-09-19T02:37:31;COMPLETED;Electronics;57858;1
2;2021-09-19T06:15:31;CANCELLED;withdrawal virtual;42917;2
3;2021-09-18T13:17:51;COMPLETED;compress Soft cross-platform;960;2
4;2021-09-18T23:27:23;COMPLETED;Expanded;88753;1
5;2021-09-18T19:35:33;CANCELLED;Hat;10576;1
6;2021-09-18T20:14:19;PENDING;Regional harness Holy;55347;2
7;2021-09-18T12:15:06;COMPLETED;Decentralized Visionary;88231;2
8;2021-09-18T14:34:05;COMPLETED;Credit Soft Cotton;23331;1
9;2021-09-18T18:02:31;PENDING;Implemented;30578;2
10;2021-09-19T06:14:24;PENDING;solution protocol;72463;2
